,user,text,favorite_count,retweet_count,created_at
53,elonmusk,@naiivememe 🔥🔥,36168,1629,2022-11-20 04:57:42+00:00
54,elonmusk,Twitter is ALIVE,1432154,115117,2022-11-20 04:50:20+00:00
55,elonmusk,@EMTSLA @teslaownersSV @RaheemKassam @nypost Good idea,7393,239,2022-11-20 03:54:40+00:00
56,elonmusk,@teslaownersSV @RaheemKassam @nypost Their posts are super boring,15821,701,2022-11-20 03:52:22+00:00
57,elonmusk,@RaheemKassam @nypost They should bring Walter Cronkite back,18693,1251,2022-11-20 03:49:18+00:00
58,elonmusk,@nypost Oh forget it who cares,124049,6621,2022-11-20 03:40:54+00:00
59,elonmusk,@RenataKonkoly @nypost 🤣💯,26853,659,2022-11-20 03:36:12+00:00
60,elonmusk,@nypost Who made this decision?,318182,12691,2022-11-20 03:35:25+00:00
61,elonmusk,@BuzzPatterson 😉,124655,4609,2022-11-20 03:30:23+00:00
62,elonmusk,@KimDotcom Twitter engineering is working on it,62164,2922,2022-11-20 03:29:41+00:00
63,elonmusk,@sriramk Server load is insane rn. Good stress test before World Cup tomorrow!,109671,6337,2022-11-20 02:59:45+00:00
64,elonmusk,@DavidSacks Well-said,56827,2252,2022-11-20 02:35:09+00:00
65,elonmusk,@LefterisJP Lmaooo,42653,1593,2022-11-20 02:10:11+00:00
66,elonmusk,@TrungTPhan 🤣🤣,77361,2408,2022-11-20 02:07:29+00:00
67,elonmusk,"The people have spoken. 

Trump will be reinstated.

Vox Populi, Vox Dei. https://t.co/jmkhFuyfkv",953410,128936,2022-11-20 00:53:25+00:00
68,elonmusk,@TheBabylonBee 🤣 but actually,41865,1683,2022-11-20 00:30:26+00:00
69,elonmusk,@MomAngtrades 🤣,111717,4340,2022-11-20 00:15:30+00:00
70,elonmusk,134M people have seen this poll,268101,13247,2022-11-19 23:07:08+00:00
71,elonmusk,@TrungTPhan Red Bull does work tbh,79515,2999,2022-11-19 23:05:34+00:00
72,elonmusk,@BillyM2k @lexfridman Definitely need to improve Twitter’s dopamine/cortisol ratio!,14047,764,2022-11-19 22:49:44+00:00
73,elonmusk,@BillyM2k @waitbutwhy I agree,6172,240,2022-11-19 22:48:54+00:00
74,elonmusk,@micsolana 🤣🤣,7758,270,2022-11-19 21:21:31+00:00
75,elonmusk,The most entertaining outcome is the most likely – my variant on Occam’s Razor,172835,10682,2022-11-19 21:19:48+00:00
76,elonmusk,@alexxubyte Twitter search will add feedback loops to improve result rank based on which result you click on &amp; whether you immediately click back (implies wrong result),6501,384,2022-11-19 21:16:47+00:00
77,elonmusk,"@alexxubyte Notes from last night:
- Maybe deprecate TLS this week, as only needed if Android app &gt;1 year old.
- Home mixer computes Home  ~10X faster than Timeline.
- Ad mixer can greatly improve relevance at cost of lower total ad views. More interesting the ad, more time you look at it.",25383,1480,2022-11-19 21:14:12+00:00
78,elonmusk,@ErrolWebber Most accurate would be to require access to phone GPS for location-specific polls,9976,534,2022-11-19 14:12:19+00:00
79,elonmusk,@ErrolWebber Yes,6579,283,2022-11-19 14:11:07+00:00
80,elonmusk,Fascinating to watch Twitter Trump poll!,457296,24563,2022-11-19 13:23:21+00:00
81,elonmusk,@Nomad_1x Bot &amp; troll armies might be running out of steam soon. Some interesting lessons to clean up future polls.,38369,3952,2022-11-19 13:02:19+00:00
82,elonmusk,@DavidSacks Good question,28459,1484,2022-11-19 12:45:54+00:00
